Disease ID,Disease Name,Baseline R@100,Augmented R@100,Improvement,Baseline MRR,Augmented MRR
C0000768,Congenital Abnormality,0.0,0.0,0.0,0.0001918851231427191,0.00014302972887433033
C0000786,Spontaneous abortion,0.04727272727272727,0.04727272727272727,0.0,0.00213691968493993,0.0021773851376301998
C0001418,Adenocarcinoma,0.057272727272727274,0.057272727272727274,0.0,0.003279108732890499,0.002775918029706742
C0001430,Adenoma,0.09166666666666666,0.05833333333333333,-0.03333333333333333,0.0020652147481342222,0.0016569169920126671
C0001624,Adrenal Gland Neoplasms,0.3,0.2,-0.09999999999999998,0.006750052340869633,0.009170536459172502
C0001925,Albuminuria,0.0,0.1,0.1,0.0012116470984405306,0.001981797069955879
C0001973,"Alcoholic Intoxication, Chronic",0.025,0.0,-0.025,0.0018070438291072223,0.0010069854433104532
C0002170,Alopecia,0.0,0.0,0.0,0.0005555787619136414,0.0006359773934794483
C0002395,Alzheimer's Disease,0.02095238095238095,0.014285714285714285,-0.006666666666666666,0.0017610126077710262,0.0011395698474561502
C0002514,"Amino Acid Metabolism, Inborn Errors",0.0,0.0,0.0,0.00025094502651185974,0.00024036386969334607
C0002622,Amnesia,0.05,0.0,-0.05,0.0013626864387919649,0.0012731750701735847
C0002736,Amyotrophic Lateral Sclerosis,0.03333333333333333,0.03333333333333333,0.0,0.00249234803294444,0.002073225640311947
C0002871,Anemia,0.0,0.0,0.0,0.0003690275883985759,0.0002833166970083093
C0002878,"Anemia, Hemolytic",0.0,0.0,0.0,0.0004338840141748767,0.0006134335731480348
C0002895,"Anemia, Sickle Cell",0.0,0.0,0.0,0.0008065841382537524,0.000561151477537504
C0003123,Anorexia,0.2,0.25,0.04999999999999999,0.03116185630688569,0.03833009797905537
C0003130,Anoxia,0.03333333333333333,0.025,-0.008333333333333331,0.0009910172864479685,0.001293107013506481
C0003469,Anxiety Disorders,0.125,0.125,0.0,0.07838446676361185,0.07561390142845532
C0003504,Aortic Valve Insufficiency,0.0,0.0,0.0,0.0003601121374229839,0.0004140411396642581
C0003811,Cardiac Arrhythmia,0.0,0.0,0.0,0.00024586062053511134,0.0009727048308213459
C0003872,"Arthritis, Psoriatic",0.0,0.0,0.0,0.0008604032198512134,0.0012900184920064208
C0003873,Rheumatoid Arthritis,0.009523809523809523,0.014285714285714285,0.004761904761904762,0.0006623771784596825,0.0009022676220322692
C0004096,Asthma,0.01818181818181818,0.028181818181818186,0.010000000000000005,0.0010482155081109827,0.0010984309254067433
C0004114,Astrocytoma,0.15,0.05,-0.09999999999999999,0.00401945905308329,0.0026387208183007217
C0004134,Ataxia,0.0,0.0,0.0,0.0003484076819733539,0.0002355310187732833
C0004153,Atherosclerosis,0.056666666666666664,0.04,-0.016666666666666663,0.0023874703541438965,0.0037290319520798003
C0004238,Atrial Fibrillation,0.0,0.0,0.0,0.0002536739463685499,0.0005619895968671258
C0004352,Autistic Disorder,0.004347826086956522,0.017210144927536232,0.012862318840579711,0.0006980770698122211,0.0008945200618433298
C0004364,Autoimmune Diseases,0.025,0.0,-0.025,0.0011233858861897394,0.0003841984979780271
C0004763,Barrett Esophagus,0.0,0.0,0.0,0.0007025278285051082,0.0005491526644727884
C0004782,Basal Ganglia Diseases,0.0,0.0,0.0,0.00023333515138972342,0.0002559440940317182
C0004936,Mental disorders,0.0,0.0,0.0,0.0004264104171281131,0.0008539380817292185
C0004943,Behcet Syndrome,0.03333333333333333,0.03333333333333333,0.0,0.0014969813012271622,0.002285918212683328
C0005283,beta Thalassemia,0.0,0.0,0.0,0.00035246012692339657,0.00020778045655080304
C0005586,Bipolar Disorder,0.0,0.0,0.0,0.0004625873152561973,0.0004615765765278716
C0005612,Birth Weight,0.0,0.0,0.0,0.00010580680899099516,9.719301436313801e-05
C0005684,Malignant neoplasm of urinary bladder,0.15,0.15,0.0,0.009298062415983698,0.03592582937351164
C0005695,Bladder Neoplasm,0.07636363636363637,0.07636363636363637,0.0,0.004768986212638944,0.004194892267809612
C0005910,Body Weight,0.1,0.1,0.0,0.010636754959664228,0.013167449256693433
C0005941,"Bone Diseases, Developmental",0.0,0.0,0.0,0.0003256414132489046,0.000505119007807818
C0005944,Metabolic Bone Disorder,0.1,0.0,-0.1,0.0019535713332660557,0.00026557679357288656
C0006111,Brain Diseases,0.05,0.0,-0.05,0.016992286685783987,0.00045724247314423767
C0006118,Brain Neoplasms,0.05,0.05,0.0,0.0015361696868698518,0.0018183443167534923
C0006142,Malignant neoplasm of breast,0.030952380952380953,0.016666666666666666,-0.014285714285714287,0.0010280087005326225,0.0008225688709608414
C0006413,Burkitt Lymphoma,0.05,0.1,0.05,0.0020103962875241714,0.0041284585761459025
C0006625,Cachexia,0.0,0.0,0.0,0.0008745701507919458,0.000787183273268811
C0006663,Calcinosis,0.03333333333333333,0.11666666666666665,0.08333333333333331,0.0017849592481525422,0.004539046767160151
C0007117,Basal cell carcinoma,0.15,0.05,-0.09999999999999999,0.005210176193644829,0.004551318505809837
C0007131,Non-Small Cell Lung Carcinoma,0.02727272727272727,0.05454545454545455,0.02727272727272728,0.00241345600077387,0.002538903364782745
C0007134,Renal Cell Carcinoma,0.03333333333333333,0.016666666666666666,-0.016666666666666666,0.001353636709754497,0.0009119340310510364
C0007137,Squamous cell carcinoma,0.08472222222222223,0.10972222222222223,0.02500000000000001,0.005962600455183128,0.004806140065795196
C0007138,"Carcinoma, Transitional Cell",0.08333333333333333,0.08333333333333333,0.0,0.004588977556621814,0.006133090771063994
C0007193,"Cardiomyopathy, Dilated",0.04,0.08,0.04,0.00399044273890453,0.003019765628791281
C0007194,Hypertrophic Cardiomyopathy,0.1,0.15,0.04999999999999999,0.003131937078553121,0.0033377612617705504
C0007222,Cardiovascular Diseases,0.02,0.06000000000000001,0.04000000000000001,0.001023050549962079,0.001172155051917681
C0007273,Carotid Artery Diseases,0.0,0.1,0.1,0.0018340084242147773,0.0017362736135878496
C0007370,Catalepsy,0.0,0.05,0.05,0.000749537826063233,0.0016698385375440235
C0007570,Celiac Disease,0.0,0.0,0.0,0.0004846754024659487,0.00029057126075529945
C0007621,Neoplastic Cell Transformation,0.13472222222222224,0.10972222222222223,-0.02500000000000001,0.005216585185780219,0.007135213278384414
C0007785,Cerebral Infarction,0.0,0.0,0.0,0.0005688357422686319,0.0011773512171692605
C0007786,Brain Ischemia,0.09999999999999999,0.11666666666666667,0.016666666666666677,0.004015212531333188,0.004503508352609482
C0007787,Transient Ischemic Attack,0.0,0.1,0.1,0.0018177990074767648,0.004518758122859552
C0007873,Uterine Cervical Neoplasm,0.1,0.1,0.0,0.009496274530553154,0.006019528857289615
C0007959,Charcot-Marie-Tooth Disease,0.03333333333333333,0.0,-0.03333333333333333,0.0009016329664705976,0.0007372486259866926
C0008073,Developmental Disabilities,0.0,0.05,0.05,0.0008450260518782417,0.0013450720239580466
C0008074,"Child Development Disorders, Pervasive",0.0,0.0,0.0,0.0002998594698341879,0.0003778613448634491
C0008312,Primary biliary cirrhosis,0.0,0.0,0.0,0.00027780903825361323,0.00030373889207036697
C0008370,Cholestasis,0.025,0.025,0.0,0.0013191492160299447,0.0021779880290392767
