Disease ID,Disease Name,Num Genes (total),Num Genes (in PPI),Num Components,Num Internal Edges,Size of largest pathway component,Density of pathway,Conductance,Network Modularity,Distance of Pathway Components,Spatial Network Association (p-value)
C0036095,Salivary Gland Neoplasms,45,44,37,19,0.09090909090909091,0.0200845665961945,0.9822678488100793,9.140511748631423e-05,2.9253003003003,
C0033941,"Psychoses, Substance-Induced",17,17,12,16,0.35294117647058826,0.11764705882352941,0.988476773496579,6.057247193692097e-05,2.840909090909091,
C0043459,Zellweger Syndrome,15,15,1,37,1.0,0.3523809523809524,0.8634686346863468,0.00021489796585383433,,
C0033860,Psoriasis,80,64,44,58,0.3125,0.028769841269841268,0.9748591244039878,0.00024801251647760253,3.0088266384778013,
C0027726,Nephrotic Syndrome,21,21,18,18,0.09523809523809523,0.08571428571428572,0.9742857142857143,9.679324421438597e-05,2.781045751633987,
C0338480,Common Migraine,12,11,11,5,0.09090909090909091,0.09090909090909091,0.9711815561959655,2.8695951142564336e-05,3.1818181818181817,
C0026636,Mouth Diseases,12,12,9,10,0.25,0.15151515151515152,0.9826539462272333,5.27479636966036e-05,2.8194444444444446,
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,28,27,6,152,0.8148148148148148,0.43304843304843305,0.8032362459546926,0.0008777892867949786,3.1515151515151514,
C0236969,Substance-Related Disorders,114,105,89,38,0.10476190476190476,0.00695970695970696,0.9780346820809248,0.00017092214022235768,3.268113334571455,
C0002878,"Anemia, Hemolytic",12,12,10,10,0.25,0.15151515151515152,0.9580712788259959,5.744859327357119e-05,2.725925925925926,
C0003873,Rheumatoid Arthritis,219,211,107,211,0.45023696682464454,0.009523809523809525,0.9551921851773201,0.0008542563152435785,3.2400843627319045,
C0003872,"Arthritis, Psoriatic",17,15,13,12,0.2,0.11428571428571428,0.9782016348773842,6.493182082438836e-05,2.8376068376068377,
C0002871,Anemia,27,26,23,15,0.07692307692307693,0.046153846153846156,0.9718574108818011,8.278114643274896e-05,2.947628458498024,
C0206698,Cholangiocarcinoma,24,24,11,32,0.5833333333333334,0.11594202898550725,0.9838383838383838,0.00012004370787697049,2.7675324675324675,
C0206754,Neuroendocrine Tumors,10,10,9,5,0.2,0.1111111111111111,0.984375,2.7462259843969477e-05,2.5,
C0024530,Malaria,21,20,17,13,0.1,0.06842105263157895,0.9693034238488784,7.288453115590735e-05,2.9908088235294117,
C0598608,Hyperhomocysteinemia,11,11,10,8,0.18181818181818182,0.14545454545454545,0.9674134419551935,4.5706933535063026e-05,2.933333333333333,
C0019693,HIV Infections,100,99,21,339,0.7272727272727273,0.06988249845392702,0.9533186450013771,0.0010805121195084965,2.9529012345679013,
C0038013,Ankylosing spondylitis,15,14,12,8,0.21428571428571427,0.08791208791208792,0.978494623655914,4.437399781198469e-05,3.1515151515151514,
C0010606,Adenoid Cystic Carcinoma,100,99,47,138,0.494949494949495,0.02844774273345702,0.96602658788774,0.0005246315216307896,3.08985444316487,
C3495559,Juvenile arthritis,128,122,84,94,0.2540983606557377,0.01273540170708576,0.9697603345665112,0.0003842549203118985,2.9872415931005123,
C0027659,"Neoplasms, Experimental",35,33,19,46,0.3939393939393939,0.08712121212121213,0.9732946298984034,0.00021809937922394714,2.644399460188934,
C0027658,"Neoplasms, Germ Cell and Embryonal",13,13,12,7,0.15384615384615385,0.08974358974358974,0.9682539682539683,4.0063806141768085e-05,3.037878787878788,
C0002171,Alopecia Areata,11,9,7,7,0.3333333333333333,0.19444444444444445,0.9354838709677419,4.069258168420914e-05,3.253968253968254,
C0002170,Alopecia,15,14,12,7,0.14285714285714285,0.07692307692307693,0.9867549668874173,3.612726990064514e-05,2.8143939393939394,
C0428977,Bradycardia,24,24,19,14,0.16666666666666666,0.050724637681159424,0.9452054794520548,8.06729830914968e-05,3.075980392156863,
C0009447,Common Variable Immunodeficiency,12,12,8,12,0.3333333333333333,0.18181818181818182,0.9770773638968482,6.542664369625665e-05,2.611607142857143,
C0017658,Glomerulonephritis,30,28,15,36,0.2857142857142857,0.09523809523809523,0.9618845950238222,0.00019508675407384386,2.794113756613757,
C0001973,"Alcoholic Intoxication, Chronic",41,38,32,20,0.10526315789473684,0.02844950213371266,0.9670781893004116,0.00011054087932376352,3.190524193548387,
C0273115,Lung Injury,20,20,15,20,0.15,0.10526315789473684,0.9874450721908349,7.353593787389918e-05,2.62936507936508,
C1136249,"Mental Retardation, X-Linked",22,18,18,3,0.05555555555555555,0.0196078431372549,0.9892280071813285,1.6202245276663473e-05,2.947712418300654,
C0038454,Cerebrovascular accident,38,37,23,41,0.35135135135135137,0.06156156156156156,0.9637649138311976,0.00021767190809620756,2.8350055741360087,
C0019284,Diaphragmatic Hernia,41,40,33,28,0.1,0.035897435897435895,0.974706413730804,0.0001426627510718582,2.778409090909091,
